,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
0,Nathan Goodman,Joseph M. Morris,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Intel,Company,Denied,"Nice paper, but not too much interesting."
1,Juha Honkala,Joseph M. Morris,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Microsoft,Company,Accepted,Really good.
2,Nathan Goodman,Joseph M. Morris,Pattern Matching in Trees and Nets.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
3,Juha Honkala,Joseph M. Morris,Pattern Matching in Trees and Nets.,UPC,University,Accepted,Really good.
4,Alex Kondratyev,Joseph M. Morris,Pattern Matching in Trees and Nets.,Microsoft,Company,Accepted,Too much boring.
5,Robin Milner,Joseph M. Morris,Pattern Matching in Trees and Nets.,UDL,University,Denied,Nice to know.
6,Sanjeev Saxena,Isi Mitrani,NP-complete Problems Simplified on Tree Schemas.,UPC,University,Denied,"Nice paper, but not too much interesting."
7,Hans Ulrich Simon,Isi Mitrani,NP-complete Problems Simplified on Tree Schemas.,UDL,University,Denied,"Nice paper, but not too much interesting."
8,Juha Honkala,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Intel,Company,Accepted,Too much boring.
9,Oded Shmueli,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
10,Norbert Blum,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Accepted,Really good.
11,Nathan Goodman,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Denied,Nice to know.
12,Juha Honkala,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Denied,Too much boring.
13,Hans Ulrich Simon,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Intel,Company,Denied,Too much boring.
14,Juha Honkala,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,UPC,University,Accepted,"Nice paper, but not too much interesting."
15,Maciej Koutny,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,UPC,University,Denied,Nice to know.
16,Hans Ulrich Simon,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
17,Juha Honkala,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
18,Nathan Goodman,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,UPC,University,Denied,Nice to know.
19,Sanjeev Saxena,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,UDL,University,Accepted,Nice to know.
20,Juha Honkala,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Intel,Company,Accepted,Really good.
21,Norbert Blum,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,UPC,University,Denied,Really good.
22,Walter Vogler,Patrick Cousot,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Accepted,Nice to know.
23,Juha Honkala,Patrick Cousot,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UPC,University,Accepted,Too much boring.
24,Norbert Blum,Patrick Cousot,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Denied,Really good.
25,Sanjeev Saxena,Patrick Cousot,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UPC,University,Accepted,"Nice paper, but not too much interesting."
26,Nathan Goodman,Patrick Cousot,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Accepted,Really good.
27,Walter Vogler,Patrick Cousot,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Accepted,Really good.
28,Oded Shmueli,Patrick Cousot,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Denied,Really good.
29,Hans Ulrich Simon,Patrick Cousot,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Denied,Too much boring.
30,Juha Honkala,Jürgen Nehmer,A characterization of rational D0L power series.,Intel,Company,Denied,"Nice paper, but not too much interesting."
31,Sanjeev Saxena,Jürgen Nehmer,A characterization of rational D0L power series.,UPC,University,Accepted,Too much boring.
32,Arnold Schönhage,Karl Meinke,The Derivation of Systolic Implementations of Programs.,UPC,University,Accepted,Nice to know.
33,Alex Kondratyev,Karl Meinke,The Derivation of Systolic Implementations of Programs.,Microsoft,Company,Accepted,Really good.
34,Oded Shmueli,Karl Meinke,The Derivation of Systolic Implementations of Programs.,UPC,University,Denied,Too much boring.
35,Juha Honkala,Karl Meinke,The Derivation of Systolic Implementations of Programs.,Microsoft,Company,Denied,Too much boring.
36,Alex Kondratyev,Karl Meinke,Fifo Nets Without Order Deadlock.,Microsoft,Company,Denied,Too much boring.
37,Maciej Koutny,Karl Meinke,Fifo Nets Without Order Deadlock.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
38,Juha Honkala,Karl Meinke,Fifo Nets Without Order Deadlock.,UDL,University,Accepted,"Nice paper, but not too much interesting."
39,Robin Milner,Karl Meinke,Fifo Nets Without Order Deadlock.,Intel,Company,Denied,Too much boring.
40,Juha Honkala,Delphine Longuet,On the Complementation Rule for Multivalued Dependencies in Database Relations.,UPC,University,Denied,"Nice paper, but not too much interesting."
41,Hans Ulrich Simon,Delphine Longuet,On the Complementation Rule for Multivalued Dependencies in Database Relations.,UDL,University,Accepted,"Nice paper, but not too much interesting."
42,Sanjeev Saxena,Delphine Longuet,On the Complementation Rule for Multivalued Dependencies in Database Relations.,UPC,University,Accepted,"Nice paper, but not too much interesting."
43,Maciej Koutny,Delphine Longuet,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Intel,Company,Accepted,Too much boring.
44,Juha Honkala,George Leih,Equational weighted tree transformations.,UDL,University,Accepted,Too much boring.
45,Alex Kondratyev,George Leih,Equational weighted tree transformations.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
46,Victor Khomenko,George Leih,Equational weighted tree transformations.,UPC,University,Accepted,Too much boring.
47,Walter Vogler,Walter J. Savitch,Merged processes: a new condensed representation of Petri net behaviour.,Intel,Company,Accepted,Too much boring.
48,Hans Ulrich Simon,Walter J. Savitch,Merged processes: a new condensed representation of Petri net behaviour.,Intel,Company,Accepted,Really good.
49,Walter Vogler,Walter J. Savitch,Merged processes: a new condensed representation of Petri net behaviour.,Intel,Company,Denied,Too much boring.
50,Juha Honkala,Walter J. Savitch,Merged processes: a new condensed representation of Petri net behaviour.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
51,Arnold Schönhage,Walter J. Savitch,Merged processes: a new condensed representation of Petri net behaviour.,UPC,University,Accepted,Too much boring.
52,Sanjeev Saxena,Walter J. Savitch,Merged processes: a new condensed representation of Petri net behaviour.,Microsoft,Company,Accepted,Nice to know.
53,Hans Ulrich Simon,Walter J. Savitch,Merged processes: a new condensed representation of Petri net behaviour.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
54,Maciej Koutny,Walter J. Savitch,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
55,Juha Honkala,Walter J. Savitch,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,UDL,University,Accepted,Too much boring.
56,Arnold Schönhage,Walter J. Savitch,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Microsoft,Company,Accepted,Nice to know.
57,Norbert Blum,Walter J. Savitch,A Three-Stage Construction for Multiconnection Networks.,UPC,University,Accepted,Too much boring.
58,Arnold Schönhage,Walter J. Savitch,A Three-Stage Construction for Multiconnection Networks.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
59,Walter Vogler,George Leih,The Expressive Power of Delay Operators in SCCS.,Intel,Company,Denied,"Nice paper, but not too much interesting."
60,Robin Milner,George Leih,The Expressive Power of Delay Operators in SCCS.,UPC,University,Denied,Too much boring.
61,Sanjeev Saxena,Walter J. Savitch,Calculi for Interaction.,UPC,University,Accepted,Really good.
62,Victor Khomenko,Walter J. Savitch,Calculi for Interaction.,Intel,Company,Denied,Too much boring.
63,Juha Honkala,Walter J. Savitch,Calculi for Interaction.,Microsoft,Company,Accepted,Really good.
64,Alex Kondratyev,Walter J. Savitch,Calculi for Interaction.,Intel,Company,Denied,Nice to know.
