,Paper,Keyword
0,On the Power of Chain Rules in Context Free Grammars.,android
1,On the Power of Chain Rules in Context Free Grammars.,neo4j
2,On the Power of Chain Rules in Context Free Grammars.,NN
3,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,pandas
4,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,qbits
5,A characterization of rational D0L power series.,NN
6,A characterization of rational D0L power series.,python
7,The Derivation of Systolic Implementations of Programs.,pandas
8,The Derivation of Systolic Implementations of Programs.,python
9,Fifo Nets Without Order Deadlock.,NN
10,On the Complementation Rule for Multivalued Dependencies in Database Relations.,python
11,On the Complementation Rule for Multivalued Dependencies in Database Relations.,tensor flow
12,On the Complementation Rule for Multivalued Dependencies in Database Relations.,NN
13,Equational weighted tree transformations.,tensor flow
14,Parallel Integer Sorting and Simulation Amongst CRCW Models.,tensor flow
15,Parallel Integer Sorting and Simulation Amongst CRCW Models.,pandas
16,Parallel Integer Sorting and Simulation Amongst CRCW Models.,android
17,Pattern Matching in Trees and Nets.,tensor flow
18,Pattern Matching in Trees and Nets.,NN
19,NP-complete Problems Simplified on Tree Schemas.,CNN
20,NP-complete Problems Simplified on Tree Schemas.,qbits
