,Author,Conference,Year,Paper,Editor,City,Edition
0,Sanjeev Saxena,UDL conference,2019,On the Power of Chain Rules in Context Free Grammars.,George Leih,Madrid,edition 2019 UDL conference
1,Hans Ulrich Simon,MAXsat conference,2020,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,George Leih,London,edition 2020 MAXsat conference
2,Nathan Goodman,UDL conference,2021,A characterization of rational D0L power series.,Delphine Longuet,Madrid,edition 2021 UDL conference
3,Oded Shmueli,UDL conference,2021,A characterization of rational D0L power series.,Delphine Longuet,Madrid,edition 2021 UDL conference
4,Nathan Goodman,UDL conference,2018,The Derivation of Systolic Implementations of Programs.,Karl Meinke,Lleida,edition 2018 UDL conference
5,Oded Shmueli,UDL conference,2018,The Derivation of Systolic Implementations of Programs.,Karl Meinke,Lleida,edition 2018 UDL conference
6,Nathan Goodman,UDL conference,2019,Fifo Nets Without Order Deadlock.,Walter J. Savitch,Barcelona,edition 2019 UDL conference
7,Oded Shmueli,UDL conference,2019,Fifo Nets Without Order Deadlock.,Walter J. Savitch,Barcelona,edition 2019 UDL conference
8,Arnold Schönhage,MAXsat conference,2021,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Karl Meinke,Barcelona,edition 2021 MAXsat conference
9,Juha Honkala,UDL conference,2021,Equational weighted tree transformations.,Karl Meinke,Barcelona,edition 2021 UDL conference
