,paper,reference
0,The Derivation of Systolic Implementations of Programs.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
1,The Derivation of Systolic Implementations of Programs.,NP-complete Problems Simplified on Tree Schemas.
2,Fifo Nets Without Order Deadlock.,The Derivation of Systolic Implementations of Programs.
3,Fifo Nets Without Order Deadlock.,On the Power of Chain Rules in Context Free Grammars.
4,Fifo Nets Without Order Deadlock.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
5,On the Complementation Rule for Multivalued Dependencies in Database Relations.,The Derivation of Systolic Implementations of Programs.
6,On the Complementation Rule for Multivalued Dependencies in Database Relations.,NP-complete Problems Simplified on Tree Schemas.
7,Equational weighted tree transformations.,The Derivation of Systolic Implementations of Programs.
8,Equational weighted tree transformations.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
9,Equational weighted tree transformations.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
10,Equational weighted tree transformations.,NP-complete Problems Simplified on Tree Schemas.
11,Equational weighted tree transformations.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
12,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Fifo Nets Without Order Deadlock.
13,Pattern Matching in Trees and Nets.,The Derivation of Systolic Implementations of Programs.
14,Pattern Matching in Trees and Nets.,Equational weighted tree transformations.
15,Pattern Matching in Trees and Nets.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
16,Pattern Matching in Trees and Nets.,Pattern Matching in Trees and Nets.
17,Pattern Matching in Trees and Nets.,On the Power of Chain Rules in Context Free Grammars.
18,NP-complete Problems Simplified on Tree Schemas.,Fifo Nets Without Order Deadlock.
19,NP-complete Problems Simplified on Tree Schemas.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
20,On the Power of Chain Rules in Context Free Grammars.,The Derivation of Systolic Implementations of Programs.
21,On the Power of Chain Rules in Context Free Grammars.,Equational weighted tree transformations.
22,On the Power of Chain Rules in Context Free Grammars.,Pattern Matching in Trees and Nets.
23,On the Power of Chain Rules in Context Free Grammars.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
24,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Fifo Nets Without Order Deadlock.
25,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
26,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,NP-complete Problems Simplified on Tree Schemas.
