,paper,reference
0,Least Upper Bound on the Cost of Optimum Binary Search Trees.,NP-complete Problems Simplified on Tree Schemas.
1,Least Upper Bound on the Cost of Optimum Binary Search Trees.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
2,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,"Invariants, Composition, and Substitution."
3,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
4,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Compositional Refinements in Multiple Blackboard Systems.
5,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Fifo Nets Without Order Deadlock.
6,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Gray visiting Motzkins.
7,"Invariants, Composition, and Substitution.",On the Complementation Rule for Multivalued Dependencies in Database Relations.
8,"Invariants, Composition, and Substitution.",Calculi for Interaction.
9,"Invariants, Composition, and Substitution.",Trace- and failure-based semantics for responsiveness.
10,Maximum Entropy and the ,Automatic verification of concurrent systems using a formula-based compositional approach.
11,Maximum Entropy and the ,Best Huffman Trees.
12,Maximum Entropy and the ,A characterization of rational D0L power series.
13,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Equational weighted tree transformations.
14,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
15,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Gray visiting Motzkins.
16,A theory of structural stationarity in the ,Persistence of Vector Replacement Systems is Decidable.
17,A theory of structural stationarity in the ,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
18,A theory of structural stationarity in the ,A Three-Stage Construction for Multiconnection Networks.
19,Hex ist PSPACE-vollständig.,On an Equivalence between Continuation and Stack Semantics.
20,Hex ist PSPACE-vollständig.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
21,Hex ist PSPACE-vollständig.,Inductive Completion with Retracts.
22,Hex ist PSPACE-vollständig.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
23,Hex ist PSPACE-vollständig.,Equational weighted tree transformations.
24,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
25,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,NP-complete Problems Simplified on Tree Schemas.
26,Disjunctivity and other properties of sets of pseudo-bordered words.,"Invariants, Composition, and Substitution."
27,Disjunctivity and other properties of sets of pseudo-bordered words.,A theory of structural stationarity in the 
28,Relational structures model of concurrency.,A Note on the Density of Inherently Ambiguous Context-free Languages.
29,Relational structures model of concurrency.,On Removing the Machine from the Language.
30,Relational structures model of concurrency.,A characterization of rational D0L power series.
31,On an Equivalence between Continuation and Stack Semantics.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
32,On an Equivalence between Continuation and Stack Semantics.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
33,On an Equivalence between Continuation and Stack Semantics.,The Parsing Problem for Affix Grammars.
34,On an Equivalence between Continuation and Stack Semantics.,Inductive Completion with Retracts.
35,On an Equivalence between Continuation and Stack Semantics.,Fifo Nets Without Order Deadlock.
36,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Computational Algorithms for Networks of Queues with Rejection Blocking.
37,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,The Parsing Problem for Affix Grammars.
38,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Persistence of Vector Replacement Systems is Decidable.
39,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
40,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,The Expressive Power of Delay Operators in SCCS.
41,A Note on the Density of Inherently Ambiguous Context-free Languages.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
42,A Note on the Density of Inherently Ambiguous Context-free Languages.,Two Notions of Correctness and Their Relation to Testing.
43,A Note on the Density of Inherently Ambiguous Context-free Languages.,Inductive Completion with Retracts.
44,A Note on the Density of Inherently Ambiguous Context-free Languages.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
45,A Note on the Density of Inherently Ambiguous Context-free Languages.,A characterization of rational D0L power series.
46,A Note on the Density of Inherently Ambiguous Context-free Languages.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
47,A Note on the Density of Inherently Ambiguous Context-free Languages.,Calculi for Interaction.
48,A Note on the Density of Inherently Ambiguous Context-free Languages.,A Synthesis of Several Sorting Algorithms.
49,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Maximum Entropy and the 
50,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,On an Equivalence between Continuation and Stack Semantics.
51,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
52,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Computational Algorithms for Networks of Queues with Rejection Blocking.
53,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
54,Computational Algorithms for Networks of Queues with Rejection Blocking.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
55,Computational Algorithms for Networks of Queues with Rejection Blocking.,Relational structures model of concurrency.
56,Computational Algorithms for Networks of Queues with Rejection Blocking.,Best Huffman Trees.
57,Computational Algorithms for Networks of Queues with Rejection Blocking.,A Three-Stage Construction for Multiconnection Networks.
58,Compositional Refinements in Multiple Blackboard Systems.,Maximum Entropy and the 
59,Compositional Refinements in Multiple Blackboard Systems.,A theory of structural stationarity in the 
60,Compositional Refinements in Multiple Blackboard Systems.,Relational structures model of concurrency.
61,Compositional Refinements in Multiple Blackboard Systems.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
62,"Special issue on ""Combining Compositionality and Concurrency"": part 1.","Special issue on ""Combining Compositionality and Concurrency"": part 1."
63,Automatic verification of concurrent systems using a formula-based compositional approach.,Relational structures model of concurrency.
64,Automatic verification of concurrent systems using a formula-based compositional approach.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
65,Automatic verification of concurrent systems using a formula-based compositional approach.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
66,On Removing the Machine from the Language.,A Three-Stage Construction for Multiconnection Networks.
67,On Removing the Machine from the Language.,Trace- and failure-based semantics for responsiveness.
68,Complete Problems for Space Bounded Subclasses of NP.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
69,Complete Problems for Space Bounded Subclasses of NP.,Hex ist PSPACE-vollständig.
70,Complete Problems for Space Bounded Subclasses of NP.,Computational Algorithms for Networks of Queues with Rejection Blocking.
71,Complete Problems for Space Bounded Subclasses of NP.,Two Notions of Correctness and Their Relation to Testing.
72,Complete Problems for Space Bounded Subclasses of NP.,Trace- and failure-based semantics for responsiveness.
73,Efficient controller synthesis for a fragment of MTL,Maximum Entropy and the 
74,Efficient controller synthesis for a fragment of MTL,Computational Algorithms for Networks of Queues with Rejection Blocking.
75,Efficient controller synthesis for a fragment of MTL,Automatic verification of concurrent systems using a formula-based compositional approach.
76,Efficient controller synthesis for a fragment of MTL,The Parsing Problem for Affix Grammars.
77,Efficient controller synthesis for a fragment of MTL,Pattern Matching in Trees and Nets.
78,Efficient controller synthesis for a fragment of MTL,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
79,Efficient controller synthesis for a fragment of MTL,A characterization of rational D0L power series.
80,Efficient controller synthesis for a fragment of MTL,Equational weighted tree transformations.
