,Author,Journal,Year,Paper,Editor,City,Edition
0,Norbert Blum,IEEE Journal,2015,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Isi Mitrani,London,edition 2015 IEEE Journal
1,Juha Honkala,UPC journal,2019,Pattern Matching in Trees and Nets.,Joseph M. Morris,Lleida,edition 2019 UPC journal
2,Arnold Schönhage,IEEE Journal,2019,NP-complete Problems Simplified on Tree Schemas.,Jürgen Nehmer,Barcelona,edition 2019 IEEE Journal
3,Nathan Goodman,UPC journal,2015,On the Power of Chain Rules in Context Free Grammars.,Isi Mitrani,London,edition 2015 UPC journal
4,Oded Shmueli,UPC journal,2015,On the Power of Chain Rules in Context Free Grammars.,Isi Mitrani,London,edition 2015 UPC journal
5,Sanjeev Saxena,IEEE Journal,2017,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Isi Mitrani,Lleida,edition 2017 IEEE Journal
6,Nathan Goodman,UPC journal,2017,A characterization of rational D0L power series.,Joseph M. Morris,Barcelona,edition 2017 UPC journal
7,Oded Shmueli,UPC journal,2017,A characterization of rational D0L power series.,Joseph M. Morris,Barcelona,edition 2017 UPC journal
8,Nathan Goodman,IEEE Journal,2019,The Derivation of Systolic Implementations of Programs.,Jürgen Nehmer,Balaguer,edition 2019 IEEE Journal
9,Oded Shmueli,IEEE Journal,2019,The Derivation of Systolic Implementations of Programs.,Jürgen Nehmer,Balaguer,edition 2019 IEEE Journal
10,Hans Ulrich Simon,UPC journal,2016,Fifo Nets Without Order Deadlock.,Jürgen Nehmer,London,edition 2016 UPC journal
11,Hans Ulrich Simon,UPC journal,2018,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Patrick Cousot,Barcelona,edition 2018 UPC journal
12,Juha Honkala,UPC journal,2018,Equational weighted tree transformations.,Jürgen Nehmer,Madrid,edition 2018 UPC journal
13,Norbert Blum,IEEE Journal,2018,Merged processes: a new condensed representation of Petri net behaviour.,Isi Mitrani,Barcelona,edition 2018 IEEE Journal
14,Norbert Blum,UPC journal,2021,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Jürgen Nehmer,Barcelona,edition 2021 UPC journal
15,Hans Ulrich Simon,IEEE Journal,2021,A Three-Stage Construction for Multiconnection Networks.,Isi Mitrani,London,edition 2021 IEEE Journal
16,Arnold Schönhage,IEEE Journal,2016,The Expressive Power of Delay Operators in SCCS.,Patrick Cousot,Balaguer,edition 2016 IEEE Journal
17,Sanjeev Saxena,IEEE Journal,2020,Calculi for Interaction.,Isi Mitrani,Balaguer,edition 2020 IEEE Journal
18,Norbert Blum,IEEE Journal,2017,A Synthesis of Several Sorting Algorithms.,Jürgen Nehmer,Barcelona,edition 2017 IEEE Journal
19,Hans Ulrich Simon,UPC journal,2016,A Workload Model Representative of Static and Dynamic Characteristics.,Jürgen Nehmer,Lleida,edition 2016 UPC journal
20,Nathan Goodman,UPC journal,2016,Gray visiting Motzkins.,Jürgen Nehmer,Lleida,edition 2016 UPC journal
21,Oded Shmueli,UPC journal,2016,Gray visiting Motzkins.,Jürgen Nehmer,Lleida,edition 2016 UPC journal
22,Nathan Goodman,IEEE Journal,2017,Trace- and failure-based semantics for responsiveness.,Isi Mitrani,Madrid,edition 2017 IEEE Journal
23,Oded Shmueli,IEEE Journal,2017,Trace- and failure-based semantics for responsiveness.,Isi Mitrani,Madrid,edition 2017 IEEE Journal
24,Arnold Schönhage,IEEE Journal,2017,Branching Processes in the Analysis of the Heights of Trees.,Isi Mitrani,Lleida,edition 2017 IEEE Journal
