,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
0,Juha Honkala,Patrick Cousot,Parallel Integer Sorting and Simulation Amongst CRCW Models.,UPC,University,Accepted,Nice to know.
1,George Rahonis,Patrick Cousot,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Intel,Company,Denied,Nice to know.
2,Arnold Schönhage,Patrick Cousot,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
3,Hans Ulrich Simon,Patrick Cousot,Parallel Integer Sorting and Simulation Amongst CRCW Models.,UDL,University,Accepted,Too much boring.
4,Karel Culik II,Jürgen Nehmer,Pattern Matching in Trees and Nets.,UPC,University,Denied,"Nice paper, but not too much interesting."
5,Hans Ulrich Simon,Jürgen Nehmer,Pattern Matching in Trees and Nets.,Intel,Company,Denied,Really good.
6,Dana Angluin,Jürgen Nehmer,Pattern Matching in Trees and Nets.,UPC,University,Denied,"Nice paper, but not too much interesting."
7,Joachim Biskup,Jürgen Nehmer,Pattern Matching in Trees and Nets.,UPC,University,Accepted,Really good.
8,Oded Shmueli,Jürgen Nehmer,Pattern Matching in Trees and Nets.,Intel,Company,Accepted,Nice to know.
9,Nathan Goodman,Jürgen Nehmer,Pattern Matching in Trees and Nets.,Intel,Company,Denied,Nice to know.
10,Arnold Schönhage,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
11,Oded Shmueli,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,Nice to know.
12,Norbert Blum,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,Nice to know.
13,Arnold Schönhage,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,Nice to know.
14,Nathan Goodman,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,UPC,University,Accepted,"Nice paper, but not too much interesting."
15,Sanjeev Saxena,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Denied,Nice to know.
16,Timothy A. Budd,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
17,Simant Dube,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,Too much boring.
18,Norbert Blum,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Denied,Too much boring.
19,Nathan Goodman,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
20,Hans Ulrich Simon,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,UDL,University,Accepted,Nice to know.
21,Antonella Santone,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,UDL,University,Denied,Really good.
22,Arnold Schönhage,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Accepted,Really good.
23,Symeon Bozapalidis,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Accepted,Really good.
24,Jianwen Su,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Intel,Company,Accepted,Really good.
25,Arnold Schönhage,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Denied,Too much boring.
26,Simant Dube,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Denied,Nice to know.
27,Juha Honkala,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
28,Sanjeev Saxena,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Denied,Nice to know.
29,Rob J. van Glabbeek,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Accepted,Too much boring.
30,Hans Ulrich Simon,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UPC,University,Accepted,Really good.
31,Oded Shmueli,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Accepted,Nice to know.
32,Roland Meyer,Jürgen Nehmer,A characterization of rational D0L power series.,Microsoft,Company,Denied,Nice to know.
33,Ernst-Rüdiger Olderog,Jürgen Nehmer,A characterization of rational D0L power series.,Intel,Company,Accepted,Too much boring.
34,Dana Angluin,Jürgen Nehmer,A characterization of rational D0L power series.,Intel,Company,Denied,Nice to know.
35,Norbert Blum,Jürgen Nehmer,A characterization of rational D0L power series.,Intel,Company,Accepted,Really good.
36,Joachim Biskup,Patrick Cousot,The Derivation of Systolic Implementations of Programs.,UPC,University,Accepted,Too much boring.
37,Roland Meyer,Patrick Cousot,The Derivation of Systolic Implementations of Programs.,UPC,University,Denied,Nice to know.
38,Sanjeev Saxena,Patrick Cousot,The Derivation of Systolic Implementations of Programs.,UDL,University,Denied,Nice to know.
39,Norbert Blum,Patrick Cousot,The Derivation of Systolic Implementations of Programs.,UPC,University,Accepted,Nice to know.
40,Hans Ulrich Simon,Joseph M. Morris,Fifo Nets Without Order Deadlock.,Intel,Company,Accepted,Really good.
41,Simant Dube,Joseph M. Morris,Fifo Nets Without Order Deadlock.,UDL,University,Denied,"Nice paper, but not too much interesting."
42,Annie Choquet,Joseph M. Morris,Fifo Nets Without Order Deadlock.,Microsoft,Company,Denied,Nice to know.
43,Carol Critchlow,Joseph M. Morris,Fifo Nets Without Order Deadlock.,Intel,Company,Accepted,Really good.
44,Juha Honkala,Joseph M. Morris,Fifo Nets Without Order Deadlock.,UPC,University,Accepted,"Nice paper, but not too much interesting."
45,Juha Honkala,Isi Mitrani,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Microsoft,Company,Accepted,Nice to know.
