,paper,reference
0,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Weakly Context-Sensitive Languages as Model for Programming Languages.
1,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Optimizing the Costs of Hierarchical Quorum Consensus.
2,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Recursive Petri nets.
3,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Algorithms for Fast Evaluation of Boolean Expressions.
4,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
5,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Automatic verification of concurrent systems using a formula-based compositional approach.
6,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,On Removing the Machine from the Language.
7,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Best Huffman Trees.
8,Complete Parameterized Families of Job Scheduling Strategies.,A Note on Multihead Automata and Context-Sensitive Languages
9,Complete Parameterized Families of Job Scheduling Strategies.,Contextual Nets.
10,Complete Parameterized Families of Job Scheduling Strategies.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
11,Complete Parameterized Families of Job Scheduling Strategies.,Recursive Petri nets.
12,Complete Parameterized Families of Job Scheduling Strategies.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
13,Complete Parameterized Families of Job Scheduling Strategies.,State space axioms for T-systems.
14,Complete Parameterized Families of Job Scheduling Strategies.,Infinite Proof Rules for Loops.
15,Complete Parameterized Families of Job Scheduling Strategies.,"Running a job on a collection of partly available machines, with on-line restarts."
16,Complete Parameterized Families of Job Scheduling Strategies.,Metric propositional neighborhood logic with an equivalence relation.
17,Complete Parameterized Families of Job Scheduling Strategies.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
18,Complete Parameterized Families of Job Scheduling Strategies.,"Invariants, Composition, and Substitution."
19,Complete Parameterized Families of Job Scheduling Strategies.,Maximum Entropy and the 
20,Complete Parameterized Families of Job Scheduling Strategies.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
21,Complete Parameterized Families of Job Scheduling Strategies.,Hex ist PSPACE-vollständig.
