,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
0,Sanjeev Saxena,Isi Mitrani,Parallel Integer Sorting and Simulation Amongst CRCW Models.,UDL,University,Denied,"Nice paper, but not too much interesting."
1,Christian Stahl,Isi Mitrani,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Intel,Company,Accepted,Nice to know.
2,John Darlington,Isi Mitrani,Parallel Integer Sorting and Simulation Amongst CRCW Models.,UPC,University,Accepted,Too much boring.
3,Ursula Goltz,Isi Mitrani,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
4,Joachim Biskup,Patrick Cousot,Pattern Matching in Trees and Nets.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
5,Ursula Goltz,Patrick Cousot,Pattern Matching in Trees and Nets.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
6,Norbert Blum,Patrick Cousot,Pattern Matching in Trees and Nets.,Microsoft,Company,Accepted,Too much boring.
7,Nathan Goodman,Patrick Cousot,Pattern Matching in Trees and Nets.,UDL,University,Accepted,Nice to know.
8,Antonella Santone,Joseph M. Morris,NP-complete Problems Simplified on Tree Schemas.,Microsoft,Company,Denied,Too much boring.
9,Norbert Blum,Joseph M. Morris,NP-complete Problems Simplified on Tree Schemas.,UDL,University,Accepted,Too much boring.
10,William R. Franta,Joseph M. Morris,NP-complete Problems Simplified on Tree Schemas.,UPC,University,Denied,Really good.
11,Arnold Schönhage,Joseph M. Morris,NP-complete Problems Simplified on Tree Schemas.,UPC,University,Denied,Really good.
12,Nathan Goodman,Isi Mitrani,On the Power of Chain Rules in Context Free Grammars.,Intel,Company,Denied,Too much boring.
13,Oded Shmueli,Isi Mitrani,On the Power of Chain Rules in Context Free Grammars.,Intel,Company,Denied,Really good.
14,Hans Ulrich Simon,Isi Mitrani,On the Power of Chain Rules in Context Free Grammars.,Intel,Company,Denied,Nice to know.
15,Oded Shmueli,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
16,Sanjeev Saxena,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UPC,University,Accepted,Really good.
17,Nathan Goodman,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Denied,Too much boring.
18,Hans Ulrich Simon,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Accepted,Really good.
19,Nathan Goodman,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UPC,University,Accepted,Nice to know.
20,Demetres D. Kouvatsos,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Denied,Nice to know.
21,Hans Ulrich Simon,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Intel,Company,Denied,Nice to know.
22,Juha Honkala,Joseph M. Morris,A characterization of rational D0L power series.,UDL,University,Accepted,Too much boring.
23,Nathan Goodman,Joseph M. Morris,A characterization of rational D0L power series.,Microsoft,Company,Denied,Nice to know.
24,William R. Franta,Joseph M. Morris,A characterization of rational D0L power series.,UDL,University,Denied,Too much boring.
25,Juha Honkala,Joseph M. Morris,A characterization of rational D0L power series.,UDL,University,Accepted,Really good.
26,Victor Khomenko,Isi Mitrani,The Derivation of Systolic Implementations of Programs.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
27,Norbert Blum,Isi Mitrani,The Derivation of Systolic Implementations of Programs.,UPC,University,Accepted,Really good.
28,Hans Ulrich Simon,Isi Mitrani,The Derivation of Systolic Implementations of Programs.,Microsoft,Company,Denied,Nice to know.
29,Juha Honkala,Isi Mitrani,Fifo Nets Without Order Deadlock.,UDL,University,Accepted,"Nice paper, but not too much interesting."
30,Oded Shmueli,Isi Mitrani,Fifo Nets Without Order Deadlock.,UPC,University,Accepted,Really good.
31,Hans Ulrich Simon,Isi Mitrani,Fifo Nets Without Order Deadlock.,Intel,Company,Accepted,Really good.
32,Nathan Goodman,Isi Mitrani,Fifo Nets Without Order Deadlock.,UPC,University,Accepted,"Nice paper, but not too much interesting."
33,Hans Ulrich Simon,Isi Mitrani,On the Complementation Rule for Multivalued Dependencies in Database Relations.,UDL,University,Denied,"Nice paper, but not too much interesting."
34,Oded Shmueli,Isi Mitrani,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
35,Norbert Blum,Joseph M. Morris,Equational weighted tree transformations.,Intel,Company,Denied,Nice to know.
36,Sanjeev Saxena,Joseph M. Morris,Equational weighted tree transformations.,Intel,Company,Denied,Nice to know.
37,Eric C. R. Hehner,Joseph M. Morris,Equational weighted tree transformations.,Intel,Company,Accepted,Nice to know.
38,Sanjeev Saxena,Joseph M. Morris,Equational weighted tree transformations.,UPC,University,Accepted,"Nice paper, but not too much interesting."
39,Juha Honkala,Patrick Cousot,Merged processes: a new condensed representation of Petri net behaviour.,UDL,University,Accepted,Really good.
40,Sanjeev Saxena,Patrick Cousot,Merged processes: a new condensed representation of Petri net behaviour.,Microsoft,Company,Denied,Too much boring.
41,Norbert Blum,Patrick Cousot,Merged processes: a new condensed representation of Petri net behaviour.,Microsoft,Company,Accepted,Nice to know.
42,Yijie Han,Patrick Cousot,Merged processes: a new condensed representation of Petri net behaviour.,Intel,Company,Accepted,Really good.
43,Hans Ulrich Simon,Patrick Cousot,Merged processes: a new condensed representation of Petri net behaviour.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
44,Juha Honkala,Patrick Cousot,Merged processes: a new condensed representation of Petri net behaviour.,UPC,University,Denied,Nice to know.
45,Eric C. R. Hehner,Patrick Cousot,Merged processes: a new condensed representation of Petri net behaviour.,Intel,Company,Accepted,Really good.
46,Nathan Goodman,Joseph M. Morris,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Microsoft,Company,Accepted,Nice to know.
47,Juha Honkala,Joseph M. Morris,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Intel,Company,Denied,"Nice paper, but not too much interesting."
48,Hans Ulrich Simon,Joseph M. Morris,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,UPC,University,Denied,Really good.
49,Rob J. van Glabbeek,Joseph M. Morris,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Microsoft,Company,Accepted,Really good.
50,Norbert Blum,Joseph M. Morris,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,UDL,University,Denied,Too much boring.
51,Maciej Koutny,Joseph M. Morris,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Microsoft,Company,Accepted,Really good.
