,paper,reference
0,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
1,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Recursive Petri nets.
2,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Extended multi bottom-up tree transducers.
3,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.
4,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Does indirect addressing matter? - A note.
5,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.
6,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,A new natural structural congruence in the pi-calculus with replication.
7,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,A Note on the Density of Inherently Ambiguous Context-free Languages.
8,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Complete Parameterized Families of Job Scheduling Strategies.
9,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Modelling higher-order dual nondeterminacy.
10,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,A Note on Multihead Automata and Context-Sensitive Languages
11,Bounded Quantification and Relations Recognizable by Finite Automata.,Recursive Petri nets.
12,Bounded Quantification and Relations Recognizable by Finite Automata.,On the Look-Ahead Problem in Lexical Analysis.
13,Bounded Quantification and Relations Recognizable by Finite Automata.,Synchronized regular expressions.
14,Bounded Quantification and Relations Recognizable by Finite Automata.,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.
15,Bounded Quantification and Relations Recognizable by Finite Automata.,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.
16,Bounded Quantification and Relations Recognizable by Finite Automata.,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
17,Bounded Quantification and Relations Recognizable by Finite Automata.,The Lattice of Data Refinement.
18,Bounded Quantification and Relations Recognizable by Finite Automata.,A first step in characterizing three-element codes.
19,Bounded Quantification and Relations Recognizable by Finite Automata.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
20,Bounded Quantification and Relations Recognizable by Finite Automata.,A Synthesis of Several Sorting Algorithms.
21,Bounded Quantification and Relations Recognizable by Finite Automata.,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.
22,A Complete Algebraic Characterization of Behavioral Subtyping.,STG decomposition strategies in combination with unfolding.
23,A Complete Algebraic Characterization of Behavioral Subtyping.,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.
24,A Complete Algebraic Characterization of Behavioral Subtyping.,A note on autodense related languages.
25,A Complete Algebraic Characterization of Behavioral Subtyping.,Recursive Petri nets.
26,A Complete Algebraic Characterization of Behavioral Subtyping.,State space axioms for T-systems.
27,A Complete Algebraic Characterization of Behavioral Subtyping.,Infinite Proof Rules for Loops.
28,A Complete Algebraic Characterization of Behavioral Subtyping.,Algorithms for Fast Evaluation of Boolean Expressions.
29,A Complete Algebraic Characterization of Behavioral Subtyping.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
30,A Complete Algebraic Characterization of Behavioral Subtyping.,A Modal Logic for Message Passing Processes.
31,A Complete Algebraic Characterization of Behavioral Subtyping.,Lazy Structure Sharing for Query Optimization.
32,A Complete Algebraic Characterization of Behavioral Subtyping.,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.
33,A Complete Algebraic Characterization of Behavioral Subtyping.,Finite State Relational Programs.
34,A Complete Algebraic Characterization of Behavioral Subtyping.,Fifo Nets Without Order Deadlock.
35,A Complete Algebraic Characterization of Behavioral Subtyping.,Dispatcher Primitives for the Construction of Operating System Kernels.
36,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Gobang ist PSPACE-vollständig.
37,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Program Refinement in Fair Transition Systems.
38,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Data Encodings and Their Costs.
39,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Sur une Conjecture de S. Greibach.
40,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,On regular tree languages and deterministic pushdown automata.
41,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,A Principle of Independence for Binary Tree Searching.
42,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.
43,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,A Survey of Normal Form Covers for Context Free Grammars.
44,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
45,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Merged processes: a new condensed representation of Petri net behaviour.
46,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Trace- and failure-based semantics for responsiveness.
47,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Compositional Refinements in Multiple Blackboard Systems.
48,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Complete Problems for Space Bounded Subclasses of NP.
49,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Gobang ist PSPACE-vollständig.
50,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Type-based information flow analysis for the pi-calculus.
51,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,On weighted first-order logics with discounting.
52,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.
53,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,"Another Look at the ""Longest Ascending Subsequence"" Problem."
54,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Fifo Nets Without Order Deadlock.
55,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
56,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Complete Problems for Space Bounded Subclasses of NP.
57,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Rules of Inference for Procedure Calls.
58,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,The Construction of Operator Interfaces Based on Logical Input Devices.
59,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Type-based information flow analysis for the pi-calculus.
60,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Sur une Conjecture de S. Greibach.
61,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems."
62,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
63,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
64,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Systolic Automata for VLSI on Balanced Trees.
65,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,A new natural structural congruence in the pi-calculus with replication.
66,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Finite State Relational Programs.
67,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
68,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,The Derivation of Systolic Implementations of Programs.
69,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,A Synthesis of Several Sorting Algorithms.
70,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
71,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,A Note on the Density of Inherently Ambiguous Context-free Languages.
72,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Complete Problems for Space Bounded Subclasses of NP.
73,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Functional Behavior in Data Spaces.
74,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.
75,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,COSY - A System Specification Language Based on Paths and Processes.
76,Instruction sequence processing operators.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
77,Instruction sequence processing operators.,Rules of Inference for Procedure Calls.
78,Instruction sequence processing operators.,Optimizing the Costs of Hierarchical Quorum Consensus.
79,Instruction sequence processing operators.,Extended multi bottom-up tree transducers.
80,Instruction sequence processing operators.,Synchronized regular expressions.
81,Instruction sequence processing operators.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
82,Instruction sequence processing operators.,Does indirect addressing matter? - A note.
83,Instruction sequence processing operators.,Fair ambients.
84,Instruction sequence processing operators.,A new natural structural congruence in the pi-calculus with replication.
85,Instruction sequence processing operators.,Performance Preorder and Competitive Equivalence.
86,Instruction sequence processing operators.,Complexity Theory and the Operational Structure of Algebraic Programming Systems.
87,Instruction sequence processing operators.,NP-complete Problems Simplified on Tree Schemas.
88,Instruction sequence processing operators.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
89,Instruction sequence processing operators.,A theory of structural stationarity in the 
90,Instruction sequence processing operators.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
91,Instruction sequence processing operators.,Two Notions of Correctness and Their Relation to Testing.
92,Instruction sequence processing operators.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
93,Instruction sequence processing operators.,Complete Parameterized Families of Job Scheduling Strategies.
94,Instruction sequence processing operators.,Modelling higher-order dual nondeterminacy.
95,Instruction sequence processing operators.,Dispatcher Primitives for the Construction of Operating System Kernels.
96,Instruction sequence processing operators.,Compositional schedulability analysis of real-time actor-based systems.
97,Instruction sequence processing operators.,Worst Case Performance of Weighted Buddy Systems.
98,What is Failure? An Approach to Constructive Negation.,Behavioural Approaches to Algebraic Specifications: A Comparative Study.
99,What is Failure? An Approach to Constructive Negation.,What is Failure? An Approach to Constructive Negation.
100,What is Failure? An Approach to Constructive Negation.,Quad Trees: A Data Structure for Retrieval on Composite Keys.
101,What is Failure? An Approach to Constructive Negation.,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.
102,What is Failure? An Approach to Constructive Negation.,Synchronized regular expressions.
103,What is Failure? An Approach to Constructive Negation.,Does indirect addressing matter? - A note.
104,What is Failure? An Approach to Constructive Negation.,Liveness of a mutex algorithm in a fair process algebra.
105,What is Failure? An Approach to Constructive Negation.,Models for Reactivity.
106,What is Failure? An Approach to Constructive Negation.,A first step in characterizing three-element codes.
107,What is Failure? An Approach to Constructive Negation.,NP-complete Problems Simplified on Tree Schemas.
108,What is Failure? An Approach to Constructive Negation.,A characterization of rational D0L power series.
109,What is Failure? An Approach to Constructive Negation.,Branching Processes in the Analysis of the Heights of Trees.
110,What is Failure? An Approach to Constructive Negation.,Least Upper Bound on the Cost of Optimum Binary Search Trees.
111,What is Failure? An Approach to Constructive Negation.,Two Notions of Correctness and Their Relation to Testing.
112,What is Failure? An Approach to Constructive Negation.,Modelling higher-order dual nondeterminacy.
113,What is Failure? An Approach to Constructive Negation.,On Parallel Integer Sorting.
114,STG decomposition strategies in combination with unfolding.,Weakly Context-Sensitive Languages as Model for Programming Languages.
115,STG decomposition strategies in combination with unfolding.,Optimizing the Costs of Hierarchical Quorum Consensus.
116,STG decomposition strategies in combination with unfolding.,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.
117,STG decomposition strategies in combination with unfolding.,Data Encodings and Their Costs.
118,STG decomposition strategies in combination with unfolding.,"Another Look at the ""Longest Ascending Subsequence"" Problem."
119,STG decomposition strategies in combination with unfolding.,Fifo Nets Without Order Deadlock.
120,STG decomposition strategies in combination with unfolding.,The Expressive Power of Delay Operators in SCCS.
121,STG decomposition strategies in combination with unfolding.,Maximum Entropy and the 
122,STG decomposition strategies in combination with unfolding.,Automatic verification of concurrent systems using a formula-based compositional approach.
123,Quad Trees: A Data Structure for Retrieval on Composite Keys.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
124,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Sur une Conjecture de S. Greibach.
125,Quad Trees: A Data Structure for Retrieval on Composite Keys.,On weighted first-order logics with discounting.
126,Quad Trees: A Data Structure for Retrieval on Composite Keys.,On regular tree languages and deterministic pushdown automata.
127,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Performance Preorder and Competitive Equivalence.
128,Quad Trees: A Data Structure for Retrieval on Composite Keys.,"Another Look at the ""Longest Ascending Subsequence"" Problem."
129,Quad Trees: A Data Structure for Retrieval on Composite Keys.,A Proof System for Distributed Processes.
130,Quad Trees: A Data Structure for Retrieval on Composite Keys.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
131,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Automatic verification of concurrent systems using a formula-based compositional approach.
132,Quad Trees: A Data Structure for Retrieval on Composite Keys.,A Note on Multihead Automata and Context-Sensitive Languages
133,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
134,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Performance Preorder and Competitive Equivalence.
135,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,A note on autodense related languages.
136,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Optimizing the Costs of Hierarchical Quorum Consensus.
137,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Synchronized regular expressions.
138,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Trace Nets and Process Automata.
139,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,"Another Look at the ""Longest Ascending Subsequence"" Problem."
140,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Fifo Nets Without Order Deadlock.
141,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Trace- and failure-based semantics for responsiveness.
142,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,A Note on Multihead Automata and Context-Sensitive Languages
143,Probabilistic bisimulation for realistic schedulers.,Bounded Quantification and Relations Recognizable by Finite Automata.
144,Probabilistic bisimulation for realistic schedulers.,Quad Trees: A Data Structure for Retrieval on Composite Keys.
145,Probabilistic bisimulation for realistic schedulers.,Variance Reduction Techniques for the Simulation of Markov Process.
146,Probabilistic bisimulation for realistic schedulers.,The Construction of Operator Interfaces Based on Logical Input Devices.
147,Probabilistic bisimulation for realistic schedulers.,High Level Tree Transducers and Iterated Pushdown Tree Transducers.
148,Probabilistic bisimulation for realistic schedulers.,How to Calculate Symmetries of Petri Nets.
149,Probabilistic bisimulation for realistic schedulers.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
150,Probabilistic bisimulation for realistic schedulers.,On weighted first-order logics with discounting.
151,Probabilistic bisimulation for realistic schedulers.,"Demonic, angelic and unbounded probabilistic choices in sequential programs."
152,Probabilistic bisimulation for realistic schedulers.,A Modal Logic for Message Passing Processes.
153,Probabilistic bisimulation for realistic schedulers.,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.
154,Probabilistic bisimulation for realistic schedulers.,Metric propositional neighborhood logic with an equivalence relation.
155,Probabilistic bisimulation for realistic schedulers.,Head and state hierarchies for unary multi-head finite automata.
156,Probabilistic bisimulation for realistic schedulers.,Fair ambients.
157,Probabilistic bisimulation for realistic schedulers.,Some properties of the disjunctive languages contained in 
158,Probabilistic bisimulation for realistic schedulers.,A new natural structural congruence in the pi-calculus with replication.
159,Probabilistic bisimulation for realistic schedulers.,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.
160,Probabilistic bisimulation for realistic schedulers.,A Proof System for Distributed Processes.
161,Probabilistic bisimulation for realistic schedulers.,A first step in characterizing three-element codes.
162,Probabilistic bisimulation for realistic schedulers.,Efficient LL(1) Error Correction and Recovery Using Only Insertions.
163,Probabilistic bisimulation for realistic schedulers.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
164,Probabilistic bisimulation for realistic schedulers.,Trace- and failure-based semantics for responsiveness.
165,Probabilistic bisimulation for realistic schedulers.,Relational structures model of concurrency.
166,Probabilistic bisimulation for realistic schedulers.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
167,Probabilistic bisimulation for realistic schedulers.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
168,Probabilistic bisimulation for realistic schedulers.,Two Notions of Correctness and Their Relation to Testing.
169,Explaining the Wheel Sieve.,Bounded Quantification and Relations Recognizable by Finite Automata.
170,Explaining the Wheel Sieve.,Regular and context-free nominal traces.
171,Explaining the Wheel Sieve.,High Level Tree Transducers and Iterated Pushdown Tree Transducers.
172,Explaining the Wheel Sieve.,Enhanced prefetching and caching strategies for single- and multi-disk systems.
173,Explaining the Wheel Sieve.,Infinite Proof Rules for Loops.
174,Explaining the Wheel Sieve.,Program Refinement in Fair Transition Systems.
175,Explaining the Wheel Sieve.,On the Look-Ahead Problem in Lexical Analysis.
176,Explaining the Wheel Sieve.,Sur une Conjecture de S. Greibach.
177,Explaining the Wheel Sieve.,On a Class of Recursive Procedures and Equivalent Iterative Ones.
178,Explaining the Wheel Sieve.,A general account of coinduction up-to.
179,Explaining the Wheel Sieve.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
180,Explaining the Wheel Sieve.,Trace Nets and Process Automata.
181,Explaining the Wheel Sieve.,Metric propositional neighborhood logic with an equivalence relation.
182,Explaining the Wheel Sieve.,The Programming Language Pascal.
183,Explaining the Wheel Sieve.,Inhibitionsfelder.
184,Explaining the Wheel Sieve.,Generation of Efficient 
185,Explaining the Wheel Sieve.,MAT learners for tree series: an abstract data type and two realizations.
186,Explaining the Wheel Sieve.,NP-complete Problems Simplified on Tree Schemas.
187,Explaining the Wheel Sieve.,The Derivation of Systolic Implementations of Programs.
