,Paper,Keyword
0,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,data querying
1,Complete Parameterized Families of Job Scheduling Strategies.,android
2,Modelling higher-order dual nondeterminacy.,data processing
3,Modelling higher-order dual nondeterminacy.,big data
4,Modelling higher-order dual nondeterminacy.,indexing
5,Dispatcher Primitives for the Construction of Operating System Kernels.,easter egg
6,Dispatcher Primitives for the Construction of Operating System Kernels.,python
7,Dispatcher Primitives for the Construction of Operating System Kernels.,CNN
8,A Note on Multihead Automata and Context-Sensitive Languages,data modeling
9,A Note on Multihead Automata and Context-Sensitive Languages,big data
10,A Note on Multihead Automata and Context-Sensitive Languages,data storage
11,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,neo4j
12,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,tensor flow
13,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,CNN
14,Compositional schedulability analysis of real-time actor-based systems.,big data
15,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,DeepLearning
16,Worst Case Performance of Weighted Buddy Systems.,NN
17,Worst Case Performance of Weighted Buddy Systems.,python
18,Contextual Nets.,pandas
19,Contextual Nets.,data modeling
20,COSY - A System Specification Language Based on Paths and Processes.,big data
21,Applying relation algebra and Rel View to solve problems on orders and lattices.,NN
22,Applying relation algebra and Rel View to solve problems on orders and lattices.,easter egg
23,Applying relation algebra and Rel View to solve problems on orders and lattices.,android
24,Eliminating Unit Productions from LR Parsers.,CNN
25,Eliminating Unit Productions from LR Parsers.,data querying
26,Attribute (Re)evaluation in OPTRAN.,data modeling
27,On Parallel Integer Sorting.,android
28,On Parallel Integer Sorting.,python
29,On Parallel Integer Sorting.,data storage
30,Domain Independence and the Relational Calculus.,neo4j
31,Domain Independence and the Relational Calculus.,CNN
32,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,tensor flow
33,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,neo4j
34,Bounded Quantification and Relations Recognizable by Finite Automata.,pandas
35,A Complete Algebraic Characterization of Behavioral Subtyping.,data modeling
36,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,neo4j
37,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,big data
38,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,NN
39,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,neo4j
40,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,data management
41,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,data modeling
42,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,pandas
43,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,big data
44,Instruction sequence processing operators.,data management
45,Instruction sequence processing operators.,pandas
46,What is Failure? An Approach to Constructive Negation.,pandas
47,What is Failure? An Approach to Constructive Negation.,big data
48,STG decomposition strategies in combination with unfolding.,data storage
49,Quad Trees: A Data Structure for Retrieval on Composite Keys.,data processing
50,Quad Trees: A Data Structure for Retrieval on Composite Keys.,tensor flow
51,Quad Trees: A Data Structure for Retrieval on Composite Keys.,python
52,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,NN
53,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,data querying
54,Probabilistic bisimulation for realistic schedulers.,pandas
55,Explaining the Wheel Sieve.,data querying
56,Explaining the Wheel Sieve.,pandas
57,Another Polynomial Homomorphism.,pandas
