,Paper,Keyword
0,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,big data
1,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,indexing
2,Bounded Quantification and Relations Recognizable by Finite Automata.,indexing
3,Bounded Quantification and Relations Recognizable by Finite Automata.,data modeling
4,Bounded Quantification and Relations Recognizable by Finite Automata.,data querying
5,A Complete Algebraic Characterization of Behavioral Subtyping.,data storage
6,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,data management
7,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,data storage
8,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,indexing
9,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,data storage
10,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,big data
11,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,data querying
12,Instruction sequence processing operators.,data querying
13,What is Failure? An Approach to Constructive Negation.,data modeling
14,What is Failure? An Approach to Constructive Negation.,indexing
15,What is Failure? An Approach to Constructive Negation.,data querying
16,STG decomposition strategies in combination with unfolding.,data processing
17,STG decomposition strategies in combination with unfolding.,data management
18,Quad Trees: A Data Structure for Retrieval on Composite Keys.,data querying
19,Quad Trees: A Data Structure for Retrieval on Composite Keys.,data storage
20,Quad Trees: A Data Structure for Retrieval on Composite Keys.,big data
21,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,big data
22,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,data storage
23,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,indexing
24,Probabilistic bisimulation for realistic schedulers.,data querying
25,Probabilistic bisimulation for realistic schedulers.,data storage
26,Probabilistic bisimulation for realistic schedulers.,data management
27,Explaining the Wheel Sieve.,data storage
28,Another Polynomial Homomorphism.,big data
29,Variance Reduction Techniques for the Simulation of Markov Process.,data management
30,Variance Reduction Techniques for the Simulation of Markov Process.,data modeling
31,State complexity of deletion and bipolar deletion.,data querying
32,State complexity of deletion and bipolar deletion.,data processing
33,State complexity of deletion and bipolar deletion.,data management
34,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,indexing
35,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,big data
36,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,data management
37,Regular and context-free nominal traces.,big data
38,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,indexing
39,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,data querying
40,Special issue: Synthesis and SYNT 2014.,data modeling
41,On the Synchronization in Parallel Communicating Grammar Systems.,big data
42,On the Synchronization in Parallel Communicating Grammar Systems.,data management
43,On the Synchronization in Parallel Communicating Grammar Systems.,data processing
44,Weakly Context-Sensitive Languages as Model for Programming Languages.,indexing
45,Weakly Context-Sensitive Languages as Model for Programming Languages.,big data
46,Weakly Context-Sensitive Languages as Model for Programming Languages.,data querying
47,Rules of Inference for Procedure Calls.,data processing
48,The Construction of Operator Interfaces Based on Logical Input Devices.,data management
49,The Construction of Operator Interfaces Based on Logical Input Devices.,data processing
50,The Construction of Operator Interfaces Based on Logical Input Devices.,indexing
