,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
0,Juha Honkala,Isi Mitrani,Parallel Integer Sorting and Simulation Amongst CRCW Models.,UPC,University,Accepted,Nice to know.
1,Hans Ulrich Simon,Isi Mitrani,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Microsoft,Company,Accepted,Too much boring.
2,Juha Honkala,Isi Mitrani,Parallel Integer Sorting and Simulation Amongst CRCW Models.,UDL,University,Denied,Really good.
3,Norbert Blum,Isi Mitrani,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
4,Arnold Schönhage,Joseph M. Morris,Pattern Matching in Trees and Nets.,Intel,Company,Accepted,Nice to know.
5,Hans Ulrich Simon,Joseph M. Morris,Pattern Matching in Trees and Nets.,Microsoft,Company,Accepted,Really good.
6,Oded Shmueli,Joseph M. Morris,Pattern Matching in Trees and Nets.,UPC,University,Accepted,Really good.
7,Oded Shmueli,Joseph M. Morris,NP-complete Problems Simplified on Tree Schemas.,UPC,University,Accepted,Nice to know.
8,Hans Ulrich Simon,Joseph M. Morris,NP-complete Problems Simplified on Tree Schemas.,UDL,University,Accepted,"Nice paper, but not too much interesting."
9,Sanjeev Saxena,Joseph M. Morris,NP-complete Problems Simplified on Tree Schemas.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
10,Nathan Goodman,Joseph M. Morris,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
11,Oded Shmueli,George Leih,On the Power of Chain Rules in Context Free Grammars.,UDL,University,Denied,Nice to know.
12,Norbert Blum,George Leih,On the Power of Chain Rules in Context Free Grammars.,Intel,Company,Accepted,Nice to know.
13,Oded Shmueli,George Leih,On the Power of Chain Rules in Context Free Grammars.,UPC,University,Denied,Nice to know.
14,Sanjeev Saxena,George Leih,On the Power of Chain Rules in Context Free Grammars.,UDL,University,Accepted,Really good.
15,Oded Shmueli,George Leih,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Intel,Company,Denied,Too much boring.
16,Hans Ulrich Simon,George Leih,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
17,Norbert Blum,George Leih,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UPC,University,Denied,Nice to know.
18,Oded Shmueli,Delphine Longuet,A characterization of rational D0L power series.,Microsoft,Company,Accepted,Nice to know.
19,Nathan Goodman,Delphine Longuet,A characterization of rational D0L power series.,Microsoft,Company,Denied,Too much boring.
20,Norbert Blum,Delphine Longuet,A characterization of rational D0L power series.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
21,Oded Shmueli,Delphine Longuet,A characterization of rational D0L power series.,Microsoft,Company,Denied,Nice to know.
22,Hans Ulrich Simon,Delphine Longuet,A characterization of rational D0L power series.,UDL,University,Accepted,Too much boring.
23,Oded Shmueli,Delphine Longuet,A characterization of rational D0L power series.,UPC,University,Denied,Really good.
24,Oded Shmueli,Karl Meinke,The Derivation of Systolic Implementations of Programs.,Intel,Company,Accepted,Nice to know.
25,Hans Ulrich Simon,Karl Meinke,The Derivation of Systolic Implementations of Programs.,Intel,Company,Denied,Too much boring.
26,Oded Shmueli,Karl Meinke,The Derivation of Systolic Implementations of Programs.,Intel,Company,Accepted,Really good.
27,Hans Ulrich Simon,Karl Meinke,The Derivation of Systolic Implementations of Programs.,Microsoft,Company,Accepted,Nice to know.
28,Oded Shmueli,Karl Meinke,The Derivation of Systolic Implementations of Programs.,UPC,University,Accepted,"Nice paper, but not too much interesting."
29,Hans Ulrich Simon,Walter J. Savitch,Fifo Nets Without Order Deadlock.,UPC,University,Denied,"Nice paper, but not too much interesting."
30,Nathan Goodman,Walter J. Savitch,Fifo Nets Without Order Deadlock.,Intel,Company,Denied,Too much boring.
31,Nathan Goodman,Walter J. Savitch,Fifo Nets Without Order Deadlock.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
32,Hans Ulrich Simon,Walter J. Savitch,Fifo Nets Without Order Deadlock.,UPC,University,Denied,Really good.
33,Sanjeev Saxena,Walter J. Savitch,Fifo Nets Without Order Deadlock.,Microsoft,Company,Accepted,Too much boring.
34,Nathan Goodman,Walter J. Savitch,Fifo Nets Without Order Deadlock.,UDL,University,Accepted,Nice to know.
35,Nathan Goodman,Karl Meinke,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Microsoft,Company,Denied,Really good.
36,Oded Shmueli,Karl Meinke,On the Complementation Rule for Multivalued Dependencies in Database Relations.,UPC,University,Denied,"Nice paper, but not too much interesting."
37,Nathan Goodman,Karl Meinke,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Microsoft,Company,Accepted,Nice to know.
38,Hans Ulrich Simon,Karl Meinke,Equational weighted tree transformations.,Intel,Company,Accepted,Nice to know.
39,Norbert Blum,Karl Meinke,Equational weighted tree transformations.,UDL,University,Denied,"Nice paper, but not too much interesting."
