,Paper,Keyword
0,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,data querying
1,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,easter egg
2,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,tensor flow
3,Bounded Quantification and Relations Recognizable by Finite Automata.,NN
4,A Complete Algebraic Characterization of Behavioral Subtyping.,data modeling
5,A Complete Algebraic Characterization of Behavioral Subtyping.,NN
6,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,DeepLearning
7,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,indexing
8,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,tensor flow
9,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,CNN
10,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,data querying
11,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,indexing
12,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,NN
13,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,data modeling
14,Instruction sequence processing operators.,CNN
15,What is Failure? An Approach to Constructive Negation.,easter egg
16,What is Failure? An Approach to Constructive Negation.,data storage
17,What is Failure? An Approach to Constructive Negation.,android
18,STG decomposition strategies in combination with unfolding.,CNN
19,Quad Trees: A Data Structure for Retrieval on Composite Keys.,eminem
20,Quad Trees: A Data Structure for Retrieval on Composite Keys.,data management
21,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,data querying
22,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,data storage
23,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,CNN
24,Probabilistic bisimulation for realistic schedulers.,data querying
25,Explaining the Wheel Sieve.,NN
26,Another Polynomial Homomorphism.,neo4j
27,Another Polynomial Homomorphism.,data modeling
28,Another Polynomial Homomorphism.,NN
29,Variance Reduction Techniques for the Simulation of Markov Process.,data processing
30,Variance Reduction Techniques for the Simulation of Markov Process.,CNN
31,State complexity of deletion and bipolar deletion.,DeepLearning
32,State complexity of deletion and bipolar deletion.,python
33,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,data querying
34,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,data storage
35,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,data management
36,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,NN
37,Regular and context-free nominal traces.,pandas
38,Regular and context-free nominal traces.,data processing
39,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,big data
40,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,easter egg
41,Special issue: Synthesis and SYNT 2014.,indexing
42,Special issue: Synthesis and SYNT 2014.,CNN
43,Special issue: Synthesis and SYNT 2014.,android
44,On the Synchronization in Parallel Communicating Grammar Systems.,CNN
45,Weakly Context-Sensitive Languages as Model for Programming Languages.,big data
46,Weakly Context-Sensitive Languages as Model for Programming Languages.,DeepLearning
47,Rules of Inference for Procedure Calls.,easter egg
48,Rules of Inference for Procedure Calls.,data querying
49,The Construction of Operator Interfaces Based on Logical Input Devices.,data querying
50,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,android
51,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,data querying
52,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,big data
53,Gobang ist PSPACE-vollständig.,NN
54,Gobang ist PSPACE-vollständig.,data storage
55,Gobang ist PSPACE-vollständig.,tensor flow
56,A note on autodense related languages.,pandas
57,A note on autodense related languages.,eminem
58,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,data querying
59,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,pandas
60,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,easter egg
61,Optimizing the Costs of Hierarchical Quorum Consensus.,eminem
62,Optimizing the Costs of Hierarchical Quorum Consensus.,DeepLearning
63,Optimizing the Costs of Hierarchical Quorum Consensus.,indexing
64,Recursive Petri nets.,CNN
65,Recursive Petri nets.,DeepLearning
66,Multitype Multiprogramming Models.,android
67,Automatic Correction of Syntax-Errors in Programming Languages.,DeepLearning
68,Representation and uniformization of algebraic transductions.,pandas
69,Concurrent Bisimulations in Petri Nets.,data processing
70,Concurrent Bisimulations in Petri Nets.,eminem
71,Concurrent Bisimulations in Petri Nets.,NN
72,Enhanced prefetching and caching strategies for single- and multi-disk systems.,tensor flow
73,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,data modeling
74,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,data processing
75,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,data querying
76,State space axioms for T-systems.,android
77,State space axioms for T-systems.,indexing
78,Extended multi bottom-up tree transducers.,eminem
79,The Clean Termination of Iterative Programs.,CNN
80,The Clean Termination of Iterative Programs.,data processing
81,Infinite Proof Rules for Loops.,python
82,Infinite Proof Rules for Loops.,CNN
83,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,data storage
84,"Running a job on a collection of partly available machines, with on-line restarts.",eminem
85,"Running a job on a collection of partly available machines, with on-line restarts.",data processing
86,Data Refinement by Calculation.,easter egg
87,Program Refinement in Fair Transition Systems.,eminem
88,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,eminem
89,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,big data
90,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,python
91,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",data management
92,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",data processing
93,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",pandas
94,On the Look-Ahead Problem in Lexical Analysis.,neo4j
95,On the Look-Ahead Problem in Lexical Analysis.,pandas
96,On the Look-Ahead Problem in Lexical Analysis.,big data
97,A theory of formal synthesis via inductive learning.,data storage
98,A theory of formal synthesis via inductive learning.,CNN
99,A theory of formal synthesis via inductive learning.,python
100,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,data management
101,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,python
102,Data Encodings and Their Costs.,data querying
103,Data Encodings and Their Costs.,data storage
104,Hierarchies of Complete Problems.,python
105,Hierarchies of Complete Problems.,easter egg
106,Ein Vollständigkeitssatz für Programme und Schaltkreise.,neo4j
107,Type-based information flow analysis for the pi-calculus.,data modeling
108,Type-based information flow analysis for the pi-calculus.,data storage
109,Type-based information flow analysis for the pi-calculus.,indexing
110,Sur une Conjecture de S. Greibach.,neo4j
111,A Conservation Law for G/G/m Queueing Systems.,data management
112,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,data storage
113,Context-Free Graph Grammars and Concatenation of Graphs.,NN
114,Context-Free Graph Grammars and Concatenation of Graphs.,data querying
115,On a Class of Recursive Procedures and Equivalent Iterative Ones.,DeepLearning
116,Algorithms for Fast Evaluation of Boolean Expressions.,pandas
117,Algorithms for Fast Evaluation of Boolean Expressions.,data management
118,Algorithms for Fast Evaluation of Boolean Expressions.,easter egg
119,A general account of coinduction up-to.,data querying
120,A Comparison of Two Synchronizing Concepts.,indexing
121,A Comparison of Two Synchronizing Concepts.,data processing
122,How to Calculate Symmetries of Petri Nets.,data modeling
123,How to Calculate Symmetries of Petri Nets.,eminem
124,How to Calculate Symmetries of Petri Nets.,NN
125,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",data processing
126,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",CNN
127,Recognizability of graph and pattern languages.,pandas
128,The Synthesis Problem of Petri Nets.,data storage
129,The Synthesis Problem of Petri Nets.,indexing
130,The Synthesis Problem of Petri Nets.,tensor flow
131,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,data processing
132,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,eminem
133,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,DeepLearning
134,On weighted first-order logics with discounting.,indexing
135,On weighted first-order logics with discounting.,android
136,On weighted first-order logics with discounting.,NN
137,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,data processing
138,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",android
139,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",eminem
140,An Efficiency Preorder for Processes.,DeepLearning
141,An Efficiency Preorder for Processes.,pandas
142,An Efficiency Preorder for Processes.,data querying
143,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,data processing
144,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,data storage
145,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,data querying
146,Modeling Splits in File Structures.,DeepLearning
147,Modeling Splits in File Structures.,CNN
148,Modeling Splits in File Structures.,neo4j
149,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,android
150,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,data management
151,Synchronized regular expressions.,tensor flow
152,Synchronized regular expressions.,big data
153,Synchronized regular expressions.,python
154,On regular tree languages and deterministic pushdown automata.,indexing
155,On regular tree languages and deterministic pushdown automata.,neo4j
156,On regular tree languages and deterministic pushdown automata.,data storage
157,A Modal Logic for Message Passing Processes.,eminem
158,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,python
159,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,data storage
160,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,DeepLearning
161,Does indirect addressing matter? - A note.,DeepLearning
162,Does indirect addressing matter? - A note.,data processing
163,Reasoning Algebraically about Loops.,python
164,Reasoning Algebraically about Loops.,eminem
165,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,android
166,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,data management
167,Trace Nets and Process Automata.,data management
168,Trace Nets and Process Automata.,NN
169,Trace Nets and Process Automata.,data processing
170,Metric propositional neighborhood logic with an equivalence relation.,data processing
171,Metric propositional neighborhood logic with an equivalence relation.,pandas
172,Metric propositional neighborhood logic with an equivalence relation.,indexing
173,A Principle of Independence for Binary Tree Searching.,android
174,A Principle of Independence for Binary Tree Searching.,pandas
175,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,DeepLearning
176,The Paging Drum Queue: A Uniform Perspective and Further Results.,tensor flow
177,The Undecidability of the Unification and Matching Problem for Canonical Theories.,data management
178,The Undecidability of the Unification and Matching Problem for Canonical Theories.,easter egg
179,The Undecidability of the Unification and Matching Problem for Canonical Theories.,NN
180,The Programming Language Pascal.,data processing
181,The Programming Language Pascal.,neo4j
182,"Semantics, calculi, and analysis for object-oriented specifications.",data management
183,Inhibitionsfelder.,pandas
184,Head and state hierarchies for unary multi-head finite automata.,eminem
185,Head and state hierarchies for unary multi-head finite automata.,indexing
186,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,easter egg
187,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,data querying
188,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,eminem
189,The stuttering principle revisited.,data modeling
190,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,DeepLearning
191,Lazy Structure Sharing for Query Optimization.,data querying
192,Lazy Structure Sharing for Query Optimization.,data storage
193,Lazy Structure Sharing for Query Optimization.,easter egg
194,Fair ambients.,python
195,Fair ambients.,DeepLearning
196,Concurrent Access to Data.,tensor flow
197,Concurrent Access to Data.,big data
198,Relaxed red-black trees with group updates.,eminem
199,Relaxed red-black trees with group updates.,python
200,Relaxed red-black trees with group updates.,android
201,Generation of Efficient ,easter egg
202,Generation of Efficient ,neo4j
203,Generation of Efficient ,data querying
204,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,DeepLearning
205,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,pandas
206,Priority Conflict-Free Petri Nets.,DeepLearning
207,Priority Conflict-Free Petri Nets.,neo4j
208,Optimum Multiway Search Trees.,DeepLearning
209,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,pandas
210,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,android
211,Parallel Integer Sorting Using Small Operations.,NN
212,Parallel Integer Sorting Using Small Operations.,data modeling
213,Parallel Integer Sorting Using Small Operations.,data processing
214,Stochastic cooperative distributed grammar systems and random graphs.,eminem
215,Performance Evaluation of Fork and Join Synchronization Primitives.,tensor flow
216,Performance Evaluation of Fork and Join Synchronization Primitives.,neo4j
217,Performance Evaluation of Fork and Join Synchronization Primitives.,data management
218,Some properties of the disjunctive languages contained in ,data modeling
219,Some properties of the disjunctive languages contained in ,tensor flow
220,Some properties of the disjunctive languages contained in ,eminem
221,Systolic Automata for VLSI on Balanced Trees.,easter egg
222,Systolic Automata for VLSI on Balanced Trees.,eminem
